IsGot,Path,TimeQuery
True,"[187, 188, 7800, 7801, 7802, 1826, 1827, 1828, 1829, 1830, 1831]",0.08996500000000651,"{'days': [], 'countries': [{'country_id': 2, 'days': None}], 'regions': [], 'regionNotGo': [], 'pois': [], 'poiNotGo': [], 'price': [1647, 25152], 'arrivalRegionId': 178, 'departRegionId': 178}"
False,[],7.0041689999999335,"{'days': [], 'countries': [{'country_id': 2, 'days': None}], 'regions': [{'region_id': 54, 'days': None}], 'regionNotGo': [], 'pois': [42], 'poiNotGo': [], 'price': [1647, 25152], 'arrivalRegionId': 178, 'departRegionId': 178}"
True,"[744, 745, 746, 747, 1050, 1051, 2283, 1053]",0.12395500000002357,"{'days': [], 'countries': [{'country_id': 28, 'days': None}], 'regions': [{'region_id': 79, 'days': None}], 'regionNotGo': [], 'pois': [], 'poiNotGo': [], 'price': [724, 38271], 'arrivalRegionId': 27, 'departRegionId': 27}"
False,[],7.003726000000029,"{'days': [], 'countries': [{'country_id': 2, 'days': None}], 'regions': [{'region_id': 54, 'days': None}, {'region_id': 56, 'days': None}, {'region_id': 84, 'days': None}, {'region_id': 63, 'days': None}, {'region_id': 59, 'days': None}, {'region_id': 64, 'days': None}, {'region_id': 65, 'days': None}], 'regionNotGo': [], 'pois': [10479], 'poiNotGo': [], 'price': [1647, 25152], 'arrivalRegionId': 178, 'departRegionId': 178}"
True,"[249, 10852, 3207, 3214]",0.09050400000000991,"{'days': [], 'countries': [{'country_id': 9, 'days': None}, {'country_id': 19, 'days': None}, {'country_id': 24, 'days': None}], 'regions': [], 'regionNotGo': [], 'pois': [], 'poiNotGo': []}"
True,"[249, 4136, 10340, 1350]",0.08756100000005063,"{'days': [], 'countries': [{'country_id': 9, 'days': None}, {'country_id': 19, 'days': None}, {'country_id': 24, 'days': None}], 'regions': [], 'regionNotGo': [], 'pois': [], 'poiNotGo': [], 'price': [11004, 32555]}"
True,"[533, 534, 535, 9012]",2.0251989999999296,"{'days': [], 'countries': [{'country_id': 18, 'days': None}], 'regions': [], 'regionNotGo': [], 'pois': [], 'poiNotGo': []}"
True,"[164, 165, 1981, 1982, 8973, 3201]",0.10400000000004184,"{'days': [], 'countries': [{'country_id': 9, 'days': None}, {'country_id': 17, 'days': None}, {'country_id': 18, 'days': None}], 'regions': [], 'regionNotGo': [], 'pois': [], 'poiNotGo': [], 'price': [1730, 26410]}"
True,"[249, 250, 10487, 3519, 9246, 2979, 2981, 8940, 8363, 5421]",2.9662550000000465,"{'days': [], 'countries': [{'country_id': 9, 'days': None}, {'country_id': 17, 'days': None}, {'country_id': 18, 'days': None}], 'regions': [{'region_id': 91, 'days': None}, {'region_id': 8, 'days': None}, {'region_id': 1, 'days': None}, {'region_id': 3, 'days': None}, {'region_id': 104, 'days': None}, {'region_id': 9, 'days': None}], 'regionNotGo': [], 'pois': [], 'poiNotGo': [], 'price': [1730, 26410]}"
False,[],7.0132189999999355,"{'days': [], 'countries': [{'country_id': 2, 'days': None}], 'regions': [{'region_id': 64, 'days': None}, {'region_id': 54, 'days': None}, {'region_id': 56, 'days': None}, {'region_id': 65, 'days': None}, {'region_id': 55, 'days': None}, {'region_id': 184, 'days': None}, {'region_id': 187, 'days': None}, {'region_id': 59, 'days': None}, {'region_id': 84, 'days': None}], 'regionNotGo': [], 'pois': [10479, 1126, 474, 464, 3071, 1864, 636, 93, 126, 7873, 117, 10316, 253, 137, 17651], 'poiNotGo': [], 'price': [1647, 25152]}"
False,[],7.0134669999999915,"{'days': [], 'countries': [{'country_id': 2, 'days': None}], 'regions': [{'region_id': 64, 'days': None}, {'region_id': 54, 'days': None}, {'region_id': 56, 'days': None}, {'region_id': 65, 'days': None}, {'region_id': 55, 'days': None}, {'region_id': 184, 'days': None}, {'region_id': 59, 'days': None}, {'region_id': 84, 'days': None}], 'regionNotGo': [], 'pois': [10479, 1126, 474, 464, 3071, 636, 7873, 117, 10316, 253, 137, 17651], 'poiNotGo': [], 'price': [1647, 25152]}"
True,"[694, 3224, 2832, 2833, 2834]",0.09460999999998876,"{'days': [], 'countries': [{'country_id': 28, 'days': None}], 'regions': [], 'regionNotGo': [], 'pois': [], 'poiNotGo': [], 'price': [1584, 16804]}"
True,"[694, 2501, 6142]",0.1131079999998974,"{'days': [], 'countries': [{'country_id': 28, 'days': None}], 'regions': [], 'regionNotGo': [], 'pois': [], 'poiNotGo': [], 'price': [724, 38271], 'arrivalRegionId': 72, 'departRegionId': 72}"
True,"[173, 5075, 3917, 228, 229, 230]",3.136364999999955,"{'days': [], 'countries': [{'country_id': 2, 'days': None}], 'regions': [], 'regionNotGo': [], 'pois': [], 'poiNotGo': [], 'price': [1647, 25152]}"
True,"[235, 670, 8375]",0.210158999999976,"{'days': [], 'countries': [{'country_id': 22, 'days': None}], 'regions': [], 'regionNotGo': [], 'pois': [], 'poiNotGo': [], 'price': [1873, 15478], 'arrivalRegionId': 17, 'departRegionId': 18}"
True,"[694, 5006, 4713, 4714, 4715, 4744, 5208]",0.0941330000000562,"{'days': [], 'countries': [{'country_id': 28, 'days': None}], 'regions': [{'region_id': 27, 'days': None}], 'regionNotGo': [69, 70, 2], 'pois': [2080], 'poiNotGo': [], 'price': [724, 38271]}"
True,"[1551, 4066, 3067, 3068, 3069]",0.0872829999999567,"{'days': [], 'countries': [{'country_id': 28, 'days': None}], 'regions': [], 'regionNotGo': [], 'pois': [], 'poiNotGo': [], 'price': [724, 38271], 'arrivalRegionId': 76}"
