IsGot,Path,TimeQuery
True,"[694, 2501]",0.0009019999999999584,"{'days': [5, 6, 7, 8, 9], 'countries': [{'country_id': 28, 'days': None}], 'regions': [], 'regionNotGo': [], 'pois': [], 'poiNotGo': [], 'price': [0, 80000]}"
True,"[744, 745, 746, 747]",0.001146999999999565,"{'days': [], 'countries': [{'country_id': 28, 'days': None}], 'regions': [], 'regionNotGo': [], 'pois': [], 'poiNotGo': [], 'price': [724, 38271], 'arrivalRegionId': 27, 'departRegionId': 27}"
True,"[249, 250]",0.0004690000000024952,"{'days': [], 'countries': [{'country_id': 9, 'days': None}], 'regions': [], 'regionNotGo': [], 'pois': [], 'poiNotGo': [], 'price': [1886, 25660]}"
True,"[249, 250]",0.00047999999999959186,"{'days': [], 'countries': [{'country_id': 9, 'days': None}], 'regions': [], 'regionNotGo': [], 'pois': [], 'poiNotGo': []}"
True,"[249, 250, 4439]",0.012713999999999004,"{'days': [], 'countries': [{'country_id': 9, 'days': None}], 'regions': [{'region_id': 8, 'days': None}, {'region_id': 9, 'days': None}], 'regionNotGo': [], 'pois': [], 'poiNotGo': [], 'price': [1210, 22521]}"
True,"[985, 2325, 1456]",0.024464999999999293,"{'days': [], 'countries': [{'country_id': 9, 'days': None}], 'regions': [{'region_id': 8, 'days': None}, {'region_id': 7, 'days': None}], 'regionNotGo': [], 'pois': [], 'poiNotGo': [], 'price': [1886, 25660], 'arrivalRegionId': 8}"
True,"[173, 5075, 3917, 3918]",0.027833000000001107,"{'days': [], 'countries': [{'country_id': 2, 'days': None}], 'regions': [], 'regionNotGo': [], 'pois': [], 'poiNotGo': [], 'price': [1886, 25660]}"
True,"[249, 250]",0.00045300000000025875,"{'days': [], 'countries': [{'country_id': 9, 'days': None}, {'country_id': 18, 'days': None}, {'country_id': 19, 'days': None}], 'regions': [], 'regionNotGo': [], 'pois': [], 'poiNotGo': []}"
False,[],7.006378999999999,"{'days': [], 'countries': [{'country_id': 24, 'days': None}], 'regions': [{'region_id': 157, 'days': None}], 'regionNotGo': [], 'pois': [], 'poiNotGo': [], 'price': [2114, 8202]}"
False,[],7.0018109999999965,"{'days': [], 'countries': [{'country_id': 9, 'days': None}, {'country_id': 18, 'days': None}, {'country_id': 19, 'days': None}], 'regions': [{'region_id': 8, 'days': None}, {'region_id': 1, 'days': None}, {'region_id': 12, 'days': None}], 'regionNotGo': [], 'pois': [], 'poiNotGo': [], 'price': [6411, 33564]}"
True,"[249, 250, 4079]",0.010168999999997652,"{'days': [], 'countries': [{'country_id': 9, 'days': None}, {'country_id': 18, 'days': None}, {'country_id': 19, 'days': None}], 'regions': [], 'regionNotGo': [], 'pois': [], 'poiNotGo': [], 'price': [6411, 33564]}"
True,"[249, 250]",0.00044499999999914053,"{'days': [], 'countries': [{'country_id': 9, 'days': None}, {'country_id': 18, 'days': None}], 'regions': [], 'regionNotGo': [], 'pois': [], 'poiNotGo': [], 'price': [2644, 19250]}"
